trial_num,min_blob_area,mog2_history,mog2_varThreshold,morph_kernel_size,gaussian_ksize,clahe_clip_limit,clahe_tile_grid_size,max_misses,association_threshold,Q,R,seq_8_car_success,seq_8_car_time,seq_8_garden_success,seq_8_garden_time,seq_8_hiding_success,seq_8_hiding_time,seq_8_saturated_success,seq_8_saturated_time,seq_8_crowd_success,seq_8_crowd_time,seq_8_birds_success,seq_8_birds_time,seq_8_depthwise_crossing_success,seq_8_depthwise_crossing_time,seq_8_quadrocopter_success,seq_8_quadrocopter_time,seq_8_selma_success,seq_8_selma_time,seq_8_trees_success,seq_8_trees_time,seq_8_soccer_success,seq_8_soccer_time,target_metric,metric_value,score_to_minimize,processed_seq,errors,frames,time_sec
1,408,228,80.17219,5,5,1.39990,"(12, 12)",5,42.85835,0.03471,25.43614,True,5.71947,True,7.39868,True,2.85275,True,2.67284,True,0.80286,True,2.80559,True,9.15929,True,1.92647,True,2.42207,True,6.68221,True,12.36557,idf1,0.07633,0.92367,,,5717,54.82899
2,375,757,10.07009,7,5,3.44661,"(8, 8)",2,90.59683,0.00364,23.63315,True,6.30728,True,2.69222,True,1.01195,True,1.77567,True,0.41668,True,1.37366,True,4.22401,True,1.42233,True,1.07792,True,3.07771,True,7.83885,idf1,0.05039,0.94961,,,5717,31.24791
3,488,263,18.15458,5,5,4.93292,"(12, 12)",9,110.03844,0.00573,17.45402,True,5.95575,True,2.44408,True,0.90607,True,1.71427,True,0.42565,True,1.37196,True,4.10662,True,1.31425,True,1.08399,True,2.89531,True,7.24980,idf1,0.07225,0.92775,,,5717,29.48894
4,474,494,44.68749,3,3,1.96410,"(16, 16)",7,129.14936,0.00047,87.34621,True,5.95751,True,2.39409,True,0.91432,True,1.67844,True,0.39360,True,1.30893,True,3.99954,True,1.18591,True,1.06147,True,2.84425,True,7.32504,idf1,0.09245,0.90755,,,5717,29.08573
5,132,629,48.26403,3,5,1.12525,"(16, 16)",6,74.39378,0.41384,149.54532,True,6.18039,True,2.56029,True,1.05026,True,1.88707,True,0.41546,True,1.41991,True,4.23947,True,1.36078,True,1.06276,True,3.01958,True,7.89964,idf1,0.04630,0.95370,,,5717,31.13076
6,197,499,56.87508,7,7,3.98928,"(12, 12)",7,145.65691,0.02341,66.05985,True,6.27156,True,2.37402,True,0.95081,True,1.55889,True,0.42342,True,1.39189,True,4.26003,True,1.20958,True,1.09912,True,2.94921,True,7.79105,idf1,0.07086,0.92914,,,5717,30.30475
7,183,216,11.40728,5,5,2.17395,"(8, 8)",4,113.91774,0.12137,127.10260,True,6.16891,True,2.76413,True,1.07022,True,2.09593,True,0.42820,True,1.44520,True,4.20093,True,1.68296,True,1.08838,True,2.88942,True,8.13051,idf1,0.04209,0.95791,,,5717,32.00626
8,467,556,92.34637,7,5,1.38164,"(12, 12)",7,108.24029,0.02032,65.82353,True,5.90524,True,2.13694,True,0.80400,True,1.35609,True,0.37878,True,1.24917,True,3.94792,True,0.99702,True,1.03239,True,2.76454,True,7.53756,idf1,0.09599,0.90401,,,5717,28.12842
9,303,368,97.45409,7,7,1.94394,"(8, 8)",2,113.83286,0.00027,96.27725,True,6.01985,True,2.16479,True,0.81776,True,1.38923,True,0.38990,True,1.31415,True,4.07350,True,1.05387,True,1.05142,True,2.81503,True,7.37052,idf1,0.11157,0.88843,,,5717,28.47837
10,141,727,52.78332,5,7,1.55733,"(12, 12)",6,50.38265,0.47868,125.79011,True,6.34098,True,2.51587,True,0.98448,True,1.75559,True,0.43088,True,1.40808,True,4.23766,True,1.27714,True,1.08233,True,3.01992,True,7.80244,idf1,0.05413,0.94587,,,5717,30.88650
11,363,716,66.19186,3,3,2.82614,"(8, 8)",5,135.41003,0.00184,37.58627,True,6.05470,True,2.35284,True,0.83576,True,1.64724,True,0.39717,True,1.32236,True,4.10988,True,1.13298,True,1.05006,True,2.89368,True,7.36193,idf1,0.15994,0.84006,,,5717,29.17979
12,210,735,34.49190,5,3,2.41028,"(8, 8)",3,91.76118,0.00780,143.10067,True,6.19478,True,2.51822,True,0.94770,True,1.69882,True,0.42345,True,1.35986,True,4.20665,True,1.28810,True,1.06362,True,3.00589,True,7.57695,idf1,0.06587,0.93413,,,5717,30.31210
13,171,271,25.14619,3,5,2.61534,"(8, 8)",4,55.85951,0.05221,146.77006,True,6.17537,True,2.86538,True,1.06870,True,2.34210,True,0.44710,True,1.44606,True,4.15618,True,1.61554,True,1.10655,True,2.93297,True,7.86163,idf1,0.04174,0.95826,,,5717,32.05812
