frame,track_id,x,y,w,h,gt_x,gt_y,gt_w,gt_h
0,1,0,0,640,480,338,131,44,159
17,2,316,131,21,53,362,133,44,168
47,3,254,219,27,58,363,127,49,193
48,3,252,226,28,56,363,125,49,195
49,3,251,230,29,58,363,125,49,195
50,3,248,221,32,67,363,124,49,197
51,3,249,210,36,70,364,123,49,198
52,3,250,205,40,74,365,122,49,200
53,3,255,215,24,61,367,120,49,200
57,4,404,227,18,79,376,119,49,203
59,4,404,225,21,80,378,119,49,203
60,4,405,228,22,77,380,119,49,203
61,4,400,126,31,47,381,119,49,203
62,4,400,126,31,47,381,119,49,203
62,5,405,228,23,45,381,119,49,203
63,4,400,126,32,47,386,119,45,203
63,5,405,228,23,45,386,119,45,203
64,4,401,126,30,47,387,119,44,203
65,5,401,235,27,69,387,119,44,203
66,5,401,235,26,69,387,118,44,205
67,5,402,237,24,61,387,118,44,205
68,5,405,238,21,59,387,118,44,205
76,5,351,155,36,52,382,118,47,205
77,5,353,156,26,44,380,118,48,205
78,5,358,139,28,63,378,118,51,205
79,5,359,141,30,60,377,118,51,205
80,5,360,155,22,45,376,118,51,205
81,5,407,213,48,43,376,118,51,205
82,5,423,212,35,42,375,118,51,205
83,5,423,211,38,41,374,118,51,205
84,5,422,211,42,37,371,118,52,205
85,5,424,215,40,33,370,118,52,205
86,5,426,215,38,32,369,118,52,205
87,5,418,211,44,43,367,118,52,205
88,5,424,208,33,46,366,118,52,205
89,5,426,204,27,49,364,118,52,205
90,5,413,202,30,87,362,118,52,205
91,5,412,202,33,87,359,118,52,205
92,5,414,198,34,90,356,118,52,205
92,6,408,135,34,50,356,118,52,205
93,5,412,200,42,91,352,118,52,205
93,6,407,128,62,73,352,118,52,205
94,5,416,200,44,92,350,118,52,205
94,6,409,127,64,77,350,118,52,205
95,5,422,205,49,87,347,118,52,205
95,6,415,126,45,78,347,118,52,205
96,5,423,206,50,86,347,118,52,205
96,6,417,126,45,78,347,118,52,205
97,5,426,201,54,90,345,118,53,205
97,6,422,126,43,79,345,118,53,205
98,5,428,201,52,90,344,118,54,205
98,6,423,126,44,79,344,118,54,205
99,5,425,128,54,164,343,118,54,205
100,5,434,190,50,101,343,118,53,205
100,6,429,131,46,74,343,118,53,205
101,5,432,127,49,165,343,118,53,205
102,5,434,128,47,163,343,118,53,205
103,5,435,128,55,162,340,118,56,205
104,5,436,199,48,91,341,118,52,205
104,6,443,130,45,66,341,118,52,205
105,5,437,130,60,159,340,118,52,205
106,5,438,207,43,82,342,118,52,205
106,6,454,131,50,80,342,118,52,205
107,5,439,208,40,81,341,118,52,205
107,6,457,145,48,67,341,118,52,205
108,5,439,210,40,79,340,118,52,205
108,6,461,144,49,69,340,118,52,205
108,7,494,206,30,37,340,118,52,205
109,5,441,137,79,151,340,118,52,205
109,7,499,208,34,37,340,118,52,205
110,5,442,138,83,149,340,118,52,205
110,7,502,210,34,38,340,118,52,205
111,5,443,139,85,147,340,118,52,205
111,7,490,202,50,49,340,118,52,205
112,5,444,142,91,143,340,118,52,205
112,7,508,216,40,42,340,118,52,205
113,5,445,148,97,135,340,118,52,205
113,7,511,217,43,47,340,118,52,205
114,5,446,198,58,84,341,118,52,205
114,7,478,154,79,120,341,118,52,205
115,5,446,198,35,84,341,118,52,205
115,7,480,155,77,120,341,118,52,205
116,5,447,211,33,71,341,120,52,205
116,7,481,158,75,112,341,120,52,205
117,5,448,214,32,68,342,122,52,205
117,7,482,159,73,111,342,122,52,205
118,5,448,215,32,67,342,122,52,205
118,7,482,160,72,104,342,122,52,205
119,5,449,215,31,67,343,122,52,203
119,7,483,162,72,92,343,122,52,203
120,5,450,222,30,60,344,122,52,203
120,7,480,163,76,89,344,122,52,203
121,5,450,230,29,52,345,123,52,202
121,7,483,165,73,90,345,123,52,202
122,5,450,232,30,49,348,125,52,200
122,7,483,168,74,94,348,125,52,200
123,5,449,232,29,50,348,125,54,200
123,7,485,169,72,96,348,125,54,200
124,7,485,170,72,98,349,125,54,200
125,7,485,172,73,99,351,128,56,197
126,7,485,173,73,98,353,130,56,194
127,7,485,173,72,98,355,130,56,194
128,5,556,208,29,41,362,132,52,191
128,7,484,153,101,121,362,132,52,191
128,8,572,151,39,55,362,132,52,191
129,7,487,158,70,117,364,132,52,191
130,7,487,174,70,101,365,132,52,191
131,7,487,174,69,102,369,137,54,185
132,7,488,173,68,103,369,140,54,182
132,8,614,144,26,29,369,140,54,182
133,7,488,172,67,104,372,144,56,178
134,5,597,225,43,45,372,149,57,174
134,7,498,171,57,106,372,149,57,174
135,5,528,200,58,88,373,152,58,171
135,7,489,169,65,107,373,152,58,171
135,8,582,78,32,40,373,152,58,171
136,7,493,165,60,42,373,156,61,166
136,8,471,91,32,50,373,156,61,166
136,9,105,91,51,54,373,156,61,166
137,5,554,207,24,43,374,157,63,163
137,7,516,192,22,80,374,157,63,163
137,8,494,163,59,25,374,157,63,163
138,7,493,160,80,27,375,159,65,158
138,10,323,60,43,33,375,159,65,158
139,7,505,156,44,55,375,159,69,156
139,8,478,63,38,36,375,159,69,156
