frame,track_id,x,y,w,h,gt_x,gt_y,gt_w,gt_h
0,1,0,0,640,480,465,51,147,70
499,2,389,43,28,38,390,38,76,49
500,2,388,42,29,39,390,38,76,50
501,2,388,42,28,39,387,38,79,50
502,2,387,42,29,39,387,38,79,49
503,2,387,42,29,40,387,38,79,50
504,2,386,42,30,40,384,38,82,49
505,2,385,42,31,40,384,38,82,50
506,2,385,42,31,40,384,38,82,49
507,2,384,42,32,40,382,38,82,49
508,2,383,42,33,40,382,38,82,48
509,2,383,42,33,40,382,38,82,48
510,2,382,42,34,40,379,38,84,49
511,2,381,42,36,40,379,38,84,49
512,2,380,42,37,40,378,38,84,49
513,2,380,42,37,40,378,38,84,49
514,2,379,42,38,40,377,38,84,49
515,2,378,42,45,40,377,38,84,48
516,2,377,42,46,40,375,38,87,52
517,2,377,41,46,41,375,38,87,50
518,2,376,41,46,41,374,38,87,50
519,2,375,41,47,41,374,38,87,50
520,2,374,41,48,41,373,38,87,50
521,2,373,41,49,41,373,38,87,50
522,2,373,41,48,41,372,38,87,50
523,2,372,41,49,41,372,38,87,50
524,2,371,41,50,41,371,38,87,50
525,2,370,41,47,41,368,38,92,50
526,2,369,41,52,41,367,38,92,50
527,2,369,42,49,40,367,38,92,50
528,2,368,42,50,40,367,38,92,50
529,2,367,41,51,41,366,38,93,50
530,2,366,42,40,39,365,38,93,50
531,2,365,41,41,40,365,38,93,50
532,2,364,41,42,40,364,38,94,50
533,2,364,42,41,39,364,38,94,48
534,2,363,41,42,40,363,38,96,48
535,2,362,41,43,40,362,38,96,48
536,2,361,41,44,39,361,38,96,48
537,2,360,41,45,39,359,38,96,48
538,2,359,41,45,39,358,38,96,48
539,2,358,41,46,39,357,38,97,48
540,2,357,41,47,40,356,38,99,48
541,2,357,41,47,40,356,38,99,48
542,2,356,41,48,40,355,38,99,48
543,2,355,41,62,40,354,38,99,48
544,2,353,41,50,40,353,38,99,48
545,2,352,41,51,40,352,38,99,48
546,2,351,41,64,40,351,38,99,48
547,2,350,40,65,41,350,38,101,48
548,2,349,40,65,41,347,38,105,48
549,2,346,56,57,25,344,38,105,48
550,2,345,56,58,25,344,36,106,50
551,2,344,57,59,24,343,36,106,50
552,2,343,57,60,24,342,36,106,50
553,2,342,57,60,24,341,36,106,50
554,2,341,57,61,24,340,36,106,50
555,2,340,57,62,24,339,36,108,50
556,2,339,57,63,24,338,36,108,50
557,2,338,56,63,25,335,36,112,50
558,2,337,56,64,25,333,36,112,50
559,2,337,57,64,24,332,36,112,50
560,2,337,56,63,25,331,36,112,50
561,2,336,56,64,25,331,36,112,50
562,2,334,56,66,25,330,36,112,50
563,2,331,56,68,25,329,36,112,50
564,2,330,56,69,25,328,36,112,50
565,2,329,56,70,25,327,36,112,50
566,2,327,56,72,25,327,36,115,48
567,2,326,55,72,26,326,36,115,48
568,2,325,55,72,26,325,36,115,48
569,2,325,55,72,26,324,36,115,48
570,2,324,55,72,26,323,36,115,48
571,2,324,55,72,27,322,36,115,48
572,2,322,55,74,27,321,36,115,48
573,2,321,54,75,28,320,36,117,48
574,2,321,54,74,27,320,36,117,48
575,2,317,54,78,28,317,36,117,48
576,2,316,53,76,29,317,36,117,48
577,2,315,53,76,29,316,36,117,48
578,2,314,38,77,44,315,36,117,48
579,2,313,38,78,44,315,35,117,48
580,2,312,38,79,44,310,35,122,48
581,2,310,38,80,43,310,35,122,48
582,2,309,38,81,43,309,35,122,48
583,2,308,38,82,43,307,35,122,48
584,2,306,38,83,43,304,35,125,48
585,2,306,38,82,43,301,35,125,48
586,2,306,38,82,42,301,35,125,48
587,2,306,38,81,42,301,35,125,48
588,2,306,38,80,42,298,34,127,48
589,2,306,38,80,42,298,34,127,48
590,2,305,37,80,43,296,34,127,47
591,2,304,37,80,43,295,34,128,47
592,2,303,37,80,43,295,34,128,47
593,2,302,37,81,43,294,34,128,47
594,2,301,37,81,42,293,34,128,47
595,2,300,37,82,42,292,34,128,47
596,2,299,37,83,42,291,34,130,47
597,2,298,37,81,42,290,33,130,47
598,2,297,37,82,42,289,33,130,47
599,2,296,36,82,43,288,33,130,47
600,2,289,36,89,42,287,33,130,47
601,2,288,36,90,42,286,33,130,47
602,2,287,36,91,42,285,33,130,47
603,2,286,36,91,42,284,33,130,47
604,2,285,36,91,41,283,33,130,47
605,2,284,36,92,41,281,33,130,47
606,2,283,36,91,41,280,32,131,47
607,2,282,36,91,41,279,32,131,47
608,2,281,36,92,40,279,31,131,48
609,2,280,35,93,41,278,31,131,48
610,2,279,35,93,41,276,31,131,48
611,2,278,35,94,41,276,31,131,48
612,2,277,35,94,41,276,31,131,48
613,2,276,35,92,41,275,31,131,48
614,2,275,35,93,41,274,31,131,48
615,2,274,35,93,41,273,31,131,48
616,2,273,35,94,41,272,31,131,48
617,2,272,34,93,42,270,31,133,48
618,2,271,47,94,29,269,31,133,48
619,2,270,47,94,29,266,31,134,48
620,2,269,47,92,29,266,31,134,48
621,2,268,46,93,30,265,31,134,48
622,2,267,47,94,29,265,31,134,48
623,2,266,45,95,31,264,30,134,48
624,2,265,34,93,42,262,30,134,48
625,2,264,34,94,42,261,30,134,48
626,2,263,34,93,42,261,30,134,48
627,2,263,34,93,42,260,30,134,48
628,2,263,34,93,42,259,30,134,48
629,2,262,34,94,42,258,30,134,48
630,2,263,34,93,42,257,30,134,48
631,2,263,34,90,42,255,30,134,48
632,2,263,34,90,42,254,30,134,48
633,2,263,34,89,42,254,30,134,48
634,2,263,34,89,42,253,30,134,48
635,2,262,33,87,43,252,30,134,48
636,2,254,34,95,42,252,29,134,49
637,2,253,34,84,40,251,29,134,49
638,2,253,34,84,40,250,29,134,49
639,2,252,39,85,35,249,29,134,49
640,2,251,38,86,36,248,29,134,49
641,2,250,38,87,36,247,29,134,49
642,2,249,37,88,37,246,29,135,49
643,2,248,36,88,38,245,29,135,49
644,2,247,36,89,37,244,29,135,49
645,2,247,35,88,38,243,29,135,49
646,2,246,34,89,39,243,29,135,49
647,2,245,34,90,39,243,29,135,49
648,2,244,33,90,40,242,28,135,50
649,2,243,33,83,36,241,28,135,50
650,2,242,33,84,36,240,28,135,50
651,2,242,32,83,37,239,28,135,50
652,2,241,32,84,37,238,28,135,50
653,2,240,32,83,37,237,28,135,50
654,2,239,32,84,37,236,28,135,50
655,2,238,31,84,38,237,28,135,50
656,2,238,31,84,38,236,28,135,50
657,2,237,31,79,37,235,28,135,50
658,2,236,31,85,38,234,28,135,50
659,2,235,31,85,37,233,28,135,50
660,2,235,31,84,37,232,28,135,50
661,2,234,31,84,37,230,28,135,50
662,2,234,31,84,38,229,27,136,51
663,2,233,31,84,38,228,27,136,51
664,2,233,31,78,37,227,27,136,51
665,2,232,30,79,38,226,27,138,51
666,2,232,30,77,38,225,27,138,51
667,2,233,30,75,38,224,26,138,51
668,2,233,30,75,38,223,26,138,51
669,2,234,30,73,38,222,26,138,51
670,2,234,30,73,38,222,26,138,51
671,2,233,30,74,38,221,26,138,51
672,2,233,30,73,38,221,26,138,51
673,2,232,30,67,37,220,26,138,51
674,2,232,30,74,38,220,26,138,51
675,2,232,30,74,38,219,26,138,51
676,2,232,30,77,38,219,26,138,51
677,2,231,30,71,38,218,26,138,51
678,2,221,30,80,37,218,26,138,51
679,2,220,30,80,37,217,26,138,51
680,2,220,30,71,37,216,26,138,51
681,2,219,30,72,37,215,26,138,51
682,2,218,30,71,36,214,26,138,51
683,2,217,29,72,37,214,26,138,49
684,2,217,29,71,37,213,26,138,49
685,2,216,29,72,37,213,26,138,49
686,2,216,29,69,37,212,26,138,49
687,2,215,29,70,37,211,26,138,49
688,2,214,29,71,37,210,26,138,49
689,2,213,29,71,37,209,26,138,49
690,2,213,29,71,37,208,26,138,49
691,2,212,29,72,37,207,26,138,49
692,2,211,29,72,37,208,26,138,49
693,2,211,29,71,37,207,25,138,49
694,2,210,29,71,37,206,25,138,49
695,2,209,29,72,37,206,25,138,49
696,2,208,28,72,38,204,25,138,49
697,2,208,28,71,38,203,25,138,49
698,2,207,28,72,37,203,25,138,49
699,2,206,28,72,37,202,25,138,49
700,2,206,28,71,37,202,25,138,49
701,2,205,28,72,37,201,25,138,49
702,2,205,28,71,37,200,25,138,49
703,2,205,28,70,37,199,25,138,49
704,2,205,27,70,38,199,25,138,49
705,2,204,27,69,38,198,25,138,49
706,2,202,27,71,39,198,24,138,50
707,2,202,27,70,38,198,24,138,50
708,2,201,27,71,38,197,24,138,50
709,2,201,27,70,38,196,24,138,50
710,2,200,27,67,38,195,24,138,50
711,2,199,27,68,38,195,24,136,50
712,2,199,26,66,39,194,24,136,50
713,2,198,26,66,38,194,24,136,50
714,2,198,26,65,38,193,24,136,50
715,2,197,26,65,38,193,22,136,52
716,2,196,26,66,38,192,22,136,52
717,2,196,26,67,38,191,22,136,52
718,2,196,26,66,38,191,22,136,52
719,2,195,26,67,38,190,22,136,52
720,2,195,26,67,37,190,22,136,52
721,2,195,26,67,38,189,22,136,52
722,2,195,26,67,38,189,22,136,52
723,2,195,26,66,37,189,22,136,52
724,2,195,26,66,37,188,22,136,52
725,2,195,26,66,37,188,22,136,52
726,2,195,26,65,37,188,22,136,52
727,2,195,26,64,37,186,22,136,52
728,2,195,27,64,36,186,22,136,52
729,2,196,37,54,26,185,22,136,52
730,2,196,26,61,37,184,22,136,52
731,2,196,26,60,37,183,22,136,52
732,2,196,38,54,25,182,22,136,52
733,2,195,38,53,25,181,22,136,52
734,2,195,37,53,26,180,22,136,52
735,2,195,37,51,26,178,22,136,52
736,2,195,37,51,26,180,22,136,52
737,2,195,37,51,26,180,22,136,52
738,2,189,37,56,26,177,22,136,52
739,2,189,37,56,26,177,22,136,52
740,2,189,37,56,26,177,22,135,52
741,2,189,37,54,26,176,22,135,52
742,2,189,37,54,26,176,22,135,50
743,2,189,37,53,25,175,22,135,50
744,2,188,37,54,25,175,22,135,50
745,2,188,36,53,26,174,22,135,50
746,2,188,33,53,29,173,22,135,50
747,2,187,33,54,29,172,22,135,50
748,2,188,32,49,30,171,22,135,50
749,2,188,32,49,30,171,22,136,50
750,2,188,31,49,31,170,22,136,50
751,2,188,32,49,30,170,22,136,50
752,2,188,32,48,30,169,22,136,50
753,2,173,32,62,30,169,22,137,50
754,2,172,33,61,29,168,22,137,50
755,2,171,34,62,27,168,21,137,50
756,2,171,35,61,26,167,21,137,50
757,2,170,36,62,25,166,21,137,50
758,2,169,36,63,25,165,21,137,50
759,2,167,37,64,24,164,21,137,50
760,2,167,37,63,24,163,21,137,50
761,2,166,36,64,25,163,19,137,52
762,2,165,36,63,25,162,19,137,52
763,2,164,34,63,27,162,19,137,52
764,2,164,34,63,27,161,19,137,52
765,2,163,35,64,26,160,19,137,52
766,2,162,33,65,28,159,19,137,52
767,2,162,33,63,28,158,19,137,52
768,2,161,32,61,29,157,19,137,52
769,2,161,32,61,29,156,19,137,52
770,2,160,32,62,29,155,19,137,52
771,2,159,32,63,29,154,19,137,52
772,2,158,32,64,29,152,19,137,52
773,2,157,32,63,29,152,19,137,52
774,2,157,32,62,29,151,19,137,52
775,2,156,33,63,27,150,19,137,52
776,2,155,33,64,27,149,19,137,52
777,2,154,24,65,36,148,19,137,52
778,2,154,24,65,36,147,19,137,52
779,2,153,24,65,36,147,19,137,52
780,2,152,24,67,36,146,19,137,52
781,2,151,24,68,36,145,19,137,52
782,2,150,24,64,36,144,19,137,52
783,2,149,24,65,36,144,19,137,52
784,2,148,23,66,37,143,19,137,52
785,2,147,23,66,37,143,19,137,52
786,2,146,23,66,37,142,19,137,52
787,2,146,23,65,37,142,19,137,52
788,2,145,23,66,37,142,19,137,52
789,2,144,23,66,37,141,19,137,52
790,2,143,35,66,24,140,19,137,52
791,2,142,35,67,24,139,19,137,52
792,2,142,35,67,24,138,19,137,52
793,2,141,35,68,24,138,19,137,52
794,2,139,34,68,25,138,18,137,52
795,2,138,34,68,25,137,18,137,52
796,2,138,33,68,26,136,18,137,52
797,2,137,33,69,26,135,18,137,52
798,2,136,32,70,27,134,18,137,52
799,2,136,22,71,37,133,18,137,52
800,2,135,22,73,37,132,18,137,52
801,2,135,22,72,36,131,18,137,52
802,2,134,19,72,39,130,18,137,52
803,2,133,19,73,39,129,18,137,52
804,2,133,22,73,37,128,17,137,52
805,2,132,19,73,39,128,17,137,52
806,2,131,19,73,39,128,17,137,52
807,2,130,19,74,39,126,17,137,52
808,2,130,21,74,37,125,17,137,52
809,2,129,21,74,37,124,17,137,52
810,2,128,22,75,36,123,17,137,52
811,2,128,22,73,36,122,17,137,52
812,2,128,22,72,36,121,17,137,52
813,2,127,22,73,36,120,17,137,52
814,2,127,26,65,32,119,17,137,52
815,2,127,25,64,33,118,17,137,52
816,2,127,24,64,34,117,17,137,52
817,2,126,23,63,35,116,17,137,52
818,2,126,22,62,36,115,17,137,52
819,2,126,22,62,36,114,17,137,52
820,2,127,21,60,37,114,15,137,52
821,2,127,21,59,37,113,15,137,52
822,2,128,21,57,36,113,15,137,52
823,2,128,21,57,36,112,15,137,52
824,2,127,21,56,36,111,15,137,52
825,2,127,21,56,37,110,15,137,52
826,2,127,20,55,37,109,15,137,52
827,2,127,20,55,38,108,15,137,52
828,2,127,21,54,37,108,15,137,52
829,2,127,21,53,37,107,15,137,52
830,2,127,20,53,38,107,15,137,52
831,2,127,20,52,38,106,15,137,52
832,2,127,20,51,38,105,15,137,52
833,2,127,20,50,38,105,15,137,52
834,2,127,20,50,38,104,15,137,52
835,2,127,20,50,38,103,15,137,52
836,2,127,20,50,38,102,15,137,52
837,2,127,20,50,38,100,15,137,52
838,2,127,20,50,37,99,15,137,52
839,2,127,20,50,38,98,15,137,52
840,2,127,20,50,37,98,15,137,52
841,2,127,20,50,37,97,15,137,52
842,2,127,20,50,37,96,15,137,52
843,2,127,20,50,37,95,15,137,52
844,2,127,20,50,37,95,15,137,52
845,2,127,19,50,38,94,15,137,52
846,2,127,19,50,38,94,15,137,51
847,2,127,19,50,38,93,15,137,51
848,2,127,19,50,38,93,15,137,51
849,2,127,19,50,38,94,15,135,51
850,2,127,19,50,38,93,15,135,51
851,2,127,19,49,38,93,15,135,51
852,2,127,19,49,38,92,15,135,51
853,2,127,19,49,38,91,15,135,51
854,2,127,19,48,38,91,15,135,51
855,2,127,19,48,38,91,15,135,51
856,2,127,19,48,38,90,15,135,51
857,2,127,19,46,38,90,14,135,51
858,2,127,19,46,38,90,15,135,51
859,2,127,19,45,38,90,15,135,51
860,2,127,19,44,38,89,15,135,51
861,2,127,19,43,38,88,15,135,51
862,2,127,19,43,38,89,15,132,51
863,2,127,19,42,38,88,15,132,51
864,2,127,19,42,37,87,15,132,51
865,2,127,19,42,37,87,15,132,51
866,2,127,19,42,37,87,15,132,51
867,2,127,19,42,37,88,15,130,51
868,2,127,19,41,37,87,15,130,51
869,2,127,19,41,37,87,15,130,51
870,2,127,19,41,37,87,15,130,51
871,2,127,18,41,38,87,14,130,51
872,2,127,18,41,38,87,14,130,51
873,2,127,18,40,38,86,14,130,51
874,2,127,18,40,38,86,14,130,51
875,2,127,18,40,38,86,14,130,51
876,2,127,18,40,38,86,14,126,51
877,2,127,18,40,38,86,14,126,51
1119,3,232,63,74,17,180,22,132,62
1122,3,238,63,72,17,183,22,132,62
1123,3,239,63,72,18,184,22,134,62
1124,3,239,58,79,23,185,23,134,62
1125,3,240,58,80,23,187,23,134,62
1127,3,241,58,82,24,191,24,134,62
1128,3,241,58,83,24,194,24,134,62
1131,3,246,58,82,25,195,24,135,62
1132,3,246,58,83,25,197,25,135,62
1133,3,248,58,83,26,198,25,135,62
1134,3,248,58,84,26,199,25,135,62
1135,3,249,58,85,26,200,25,135,62
1136,3,249,58,86,26,200,25,135,62
1137,3,250,58,86,27,202,25,135,62
1138,3,251,58,87,27,204,25,135,62
1139,3,252,58,87,27,208,26,135,62
1140,3,253,57,88,28,208,26,135,62
1141,3,248,57,94,28,209,26,135,62
1142,3,257,59,86,27,210,26,135,62
1143,3,263,59,81,27,211,26,135,62
1144,3,263,59,83,27,212,26,135,62
1145,3,263,59,84,27,213,26,135,62
1146,3,263,59,85,27,214,26,135,62
1147,3,264,59,85,27,215,26,135,62
1148,3,264,60,87,26,216,26,135,62
1149,3,264,60,88,26,217,26,135,62
1150,3,267,60,86,26,218,26,135,62
1151,3,258,60,96,26,219,26,135,62
1152,3,268,61,87,25,220,26,135,62
1153,3,261,61,95,24,222,26,135,62
1154,3,262,61,95,25,224,27,135,62
1155,3,263,61,95,26,225,27,135,62
1156,3,264,61,95,27,227,27,135,62
1157,3,265,61,96,27,228,27,135,63
1158,3,267,61,95,27,229,28,135,63
1159,3,267,61,96,27,229,28,135,63
1160,3,268,61,96,28,230,28,135,63
1161,3,270,61,95,28,232,28,135,63
1162,3,270,61,96,28,233,28,136,63
1163,3,271,61,96,28,234,28,136,63
1164,3,273,61,95,28,235,28,136,63
1165,3,272,61,97,29,236,28,136,63
1166,3,273,61,97,29,237,28,136,63
1167,3,274,61,97,29,239,28,136,63
1168,3,275,61,97,29,241,28,134,63
1169,3,277,61,96,29,242,28,133,63
1170,3,279,61,95,29,243,28,133,63
1171,3,280,61,95,29,244,28,133,63
1172,3,281,61,95,29,245,28,133,63
1173,3,281,61,95,30,246,28,133,63
1174,3,282,61,95,30,247,28,133,63
1175,3,283,61,95,30,248,28,133,63
1176,3,284,61,95,30,249,28,133,63
1177,3,284,62,95,29,249,28,133,64
1178,3,285,62,95,29,250,28,133,64
1179,3,286,62,95,30,250,29,133,64
1180,3,287,62,95,30,251,29,133,64
1181,3,287,62,96,30,252,29,133,64
1182,3,276,62,107,30,253,29,133,64
1183,3,290,62,94,30,254,29,133,64
1183,4,310,35,49,20,254,29,133,64
1184,3,291,64,94,28,255,29,133,64
1184,4,310,35,50,20,255,29,133,64
1185,3,291,65,94,27,258,29,131,64
1185,4,310,35,51,20,258,29,131,64
1186,3,292,65,94,27,259,29,131,64
1186,4,310,35,52,20,259,29,131,64
1187,3,288,65,99,27,260,29,131,64
1187,4,310,35,52,20,260,29,131,64
1188,3,293,66,94,26,260,30,131,64
1188,4,310,35,53,20,260,30,131,64
1189,3,293,66,95,26,261,30,131,64
1189,4,311,35,52,20,261,30,131,64
1190,3,293,66,96,25,262,30,131,64
1190,4,311,35,53,20,262,30,131,64
1191,3,294,66,95,25,262,30,131,64
1191,4,311,35,54,20,262,30,131,64
1192,3,296,66,94,26,263,30,131,64
1192,4,312,36,53,19,263,30,131,64
1193,3,295,66,95,26,264,30,131,64
1193,4,312,36,53,20,264,30,131,64
1194,3,297,66,94,25,265,30,131,64
1194,4,313,36,52,20,265,30,131,64
1195,3,298,66,93,25,266,30,131,64
1195,4,314,36,51,20,266,30,131,64
1196,3,299,66,93,25,267,31,131,64
1197,3,300,67,92,24,267,31,131,64
1198,3,302,67,91,24,268,31,131,64
1199,3,303,67,90,24,269,31,129,64
1200,3,304,67,90,25,271,31,127,64
1201,3,306,67,88,25,272,31,127,64
1202,3,307,67,88,25,273,31,127,64
1203,3,307,67,88,25,273,31,127,64
1204,3,309,67,87,25,274,31,127,64
1205,3,311,67,85,25,275,32,127,64
1206,3,311,67,86,25,276,32,127,64
1207,3,313,67,84,26,277,32,127,64
1208,3,315,67,83,26,278,32,125,64
1209,3,320,67,78,26,279,32,125,64
1210,3,325,67,74,26,279,32,125,64
1211,3,326,67,73,27,280,32,125,64
1212,3,327,67,73,27,280,32,125,64
1213,3,327,67,73,27,281,32,125,64
1214,3,327,67,74,27,281,32,125,64
1215,3,329,67,72,28,281,32,125,64
1216,3,331,67,71,28,283,32,125,64
1217,3,331,67,71,28,284,32,125,64
1218,3,332,67,71,28,286,32,123,64
1219,3,333,67,70,28,287,32,123,64
1220,3,334,68,70,27,288,32,123,64
1221,3,335,68,69,27,289,33,121,64
1222,3,336,68,69,27,290,33,121,64
1223,3,337,68,68,27,291,33,121,64
1224,3,339,68,66,27,292,33,121,64
1225,3,341,68,65,27,292,33,121,64
1226,3,341,68,66,27,293,33,121,64
1227,3,341,69,66,26,293,33,121,64
1228,3,344,69,63,26,294,33,121,64
1229,3,344,69,65,26,295,33,121,64
1230,3,344,69,65,26,296,33,121,64
1231,3,346,69,64,26,297,33,119,64
1232,3,346,69,65,25,297,34,119,64
1233,3,347,70,58,24,298,34,119,64
1234,3,349,70,55,23,299,34,119,64
1235,3,350,70,55,24,300,34,119,64
1236,3,351,71,54,23,301,34,119,64
1237,3,352,71,54,23,302,34,119,64
1238,3,353,71,54,23,302,34,119,64
1239,3,354,71,53,23,303,34,119,64
1240,3,355,70,53,24,303,34,119,64
1241,3,356,74,49,21,304,35,119,62
1253,5,366,72,62,24,315,35,119,62
1254,5,367,72,62,24,316,35,119,62
1255,5,368,73,62,23,316,35,119,62
1256,5,368,72,63,24,317,35,119,62
1257,5,370,72,61,24,318,35,119,62
1258,5,370,72,62,24,319,35,119,62
1259,5,371,76,62,20,319,36,119,62
1260,5,372,76,61,20,320,36,119,62
1261,5,373,77,61,20,321,36,119,62
1262,5,373,77,61,20,322,36,119,62
1263,5,374,77,61,20,323,36,119,62
1264,5,375,80,60,17,324,36,119,62
1265,5,376,80,59,17,325,36,119,62
1266,5,376,80,59,17,326,36,119,62
1267,5,377,80,58,17,327,36,119,62
1268,5,378,80,57,17,327,36,119,62
1269,5,378,80,57,17,327,38,119,61
1270,5,379,80,56,17,328,38,119,61
1271,5,380,80,55,17,330,38,117,61
1274,5,391,43,39,22,332,38,117,62
1275,5,391,43,39,22,332,38,117,62
1276,5,392,44,38,21,333,38,117,62
1277,5,392,44,38,21,333,38,117,62
1278,5,393,44,37,21,335,38,117,62
1279,5,393,44,38,22,336,38,117,62
1280,5,394,44,37,22,336,38,117,62
1281,5,394,44,37,22,337,38,117,62
1282,5,394,44,37,22,338,38,117,62
1283,5,394,44,38,22,339,38,117,62
